Date,Active Users,Subscription Plan, Churn Rate , Monthly Recurring Revenue (MRR) , Annual Recurring Revenue (ARR) , Customer Lifetime Value (CLV) 
14-Mar-20,171,Basic, 0.09 ," 1,710 "," 20,520 "," 18,846 "
29-Dec-23,73,Premium, 0.14 ," 3,650 "," 43,800 "," 26,463 "
03-Nov-22,446,Basic, 0.02 ," 4,460 "," 53,520 "," 2,41,695 "
21-Aug-21,395,Premium, 0.14 ," 19,750 "," 2,37,000 "," 1,41,906 "
25-Oct-24,421,Premium, 0.04 ," 21,050 "," 2,52,600 "," 4,80,871 "
07-May-23,348,Standard, 0.10 ," 8,700 "," 1,04,400 "," 86,707 "
06-Jun-22,133,Standard, 0.15 ," 3,325 "," 39,900 "," 22,456 "
30-Aug-22,375,Premium, 0.11 ," 18,750 "," 2,25,000 "," 1,70,687 "
19-May-20,427,Basic, 0.13 ," 4,270 "," 51,240 "," 31,899 "
27-Sep-22,444,Basic, 0.06 ," 4,440 "," 53,280 "," 74,607 "
03-Apr-24,303,Basic, 0.14 ," 3,030 "," 36,360 "," 21,353 "
19-Sep-23,290,Basic, 0.03 ," 2,900 "," 34,800 "," 1,03,542 "
19-Apr-23,309,Standard, 0.03 ," 7,725 "," 92,700 "," 3,07,533 "
28-Feb-23,221,Premium, 0.14 ," 11,050 "," 1,32,600 "," 77,652 "
30-Jul-20,140,Standard, 0.05 ," 3,500 "," 42,000 "," 74,349 "
03-Jun-20,332,Premium, 0.11 ," 16,600 "," 1,99,200 "," 1,55,865 "
03-Feb-21,470,Standard, 0.12 ," 11,750 "," 1,41,000 "," 1,00,059 "
16-Dec-24,293,Standard, 0.05 ," 7,325 "," 87,900 "," 1,53,247 "
17-Oct-24,356,Premium, 0.08 ," 17,800 "," 2,13,600 "," 2,28,734 "
13-Mar-24,297,Basic, 0.06 ," 2,970 "," 35,640 "," 46,170 "
18-Feb-24,133,Premium, 0.06 ," 6,650 "," 79,800 "," 1,06,757 "
16-Jan-23,288,Standard, 0.02 ," 7,200 "," 86,400 "," 3,99,695 "
27-Oct-21,256,Premium, 0.14 ," 12,800 "," 1,53,600 "," 93,289 "
16-Jul-22,255,Standard, 0.11 ," 6,375 "," 76,500 "," 58,010 "
15-Aug-22,223,Standard, 0.07 ," 5,575 "," 66,900 "," 82,861 "
10-Jun-24,281,Basic, 0.13 ," 2,810 "," 33,720 "," 20,818 "
12-Aug-22,490,Standard, 0.10 ," 12,250 "," 1,47,000 "," 1,18,730 "
05-May-24,402,Basic, 0.05 ," 4,020 "," 48,240 "," 84,328 "
27-May-21,318,Standard, 0.03 ," 7,950 "," 95,400 "," 2,99,178 "
